	...Creating new working directory and empty files
val: 0.00 [60.00/187.00 (0.00%)]	Loss: 3841.14	Error: 44.79
val: 0.01 [120.00/187.00 (0.53%)]	Loss: 3897.63	Error: 46.63
val: 0.01 [180.00/187.00 (1.07%)]	Loss: 3806.11	Error: 45.43
val: 0.02 [187.00/187.00 (1.60%)]	Loss: 4013.35	Error: 47.84

train: 0.00 [60.00/560.00 (0.00%)]	Loss: 3796.36	Error: 45.09
train: 0.00 [120.00/560.00 (0.18%)]	Loss: 3876.71	Error: 44.92
train: 0.00 [180.00/560.00 (0.36%)]	Loss: 3840.50	Error: 44.81
train: 0.01 [240.00/560.00 (0.54%)]	Loss: 3582.42	Error: 44.18
train: 0.01 [300.00/560.00 (0.71%)]	Loss: 3687.50	Error: 44.04
train: 0.01 [360.00/560.00 (0.89%)]	Loss: 3588.52	Error: 44.28
train: 0.01 [420.00/560.00 (1.07%)]	Loss: 3563.45	Error: 43.23
train: 0.01 [480.00/560.00 (1.25%)]	Loss: 3404.09	Error: 40.74
train: 0.01 [540.00/560.00 (1.43%)]	Loss: 3115.73	Error: 39.03
train: 0.02 [560.00/560.00 (1.61%)]	Loss: 3330.56	Error: 39.81


val: 0.00 [60.00/187.00 (0.00%)]	Loss: 2755.11	Error: 35.80
val: 0.01 [120.00/187.00 (0.53%)]	Loss: 2790.05	Error: 35.39
val: 0.01 [180.00/187.00 (1.07%)]	Loss: 2878.34	Error: 36.95
val: 0.02 [187.00/187.00 (1.60%)]	Loss: 2892.64	Error: 34.90


Saving State Dict: new best loss is tensor(11316.1367, device='cuda:0')
train: 1.00 [60.00/560.00 (0.00%)]	Loss: 3215.53	Error: 40.84
train: 1.00 [120.00/560.00 (0.18%)]	Loss: 3227.98	Error: 40.11
train: 1.00 [180.00/560.00 (0.36%)]	Loss: 3092.38	Error: 38.98
train: 1.01 [240.00/560.00 (0.54%)]	Loss: 3039.22	Error: 37.80
train: 1.01 [300.00/560.00 (0.71%)]	Loss: 2950.79	Error: 37.36
train: 1.01 [360.00/560.00 (0.89%)]	Loss: 2923.67	Error: 37.41
train: 1.01 [420.00/560.00 (1.07%)]	Loss: 2885.88	Error: 36.52
train: 1.01 [480.00/560.00 (1.25%)]	Loss: 2839.35	Error: 36.08
train: 1.01 [540.00/560.00 (1.43%)]	Loss: 2824.73	Error: 35.33
train: 1.02 [560.00/560.00 (1.61%)]	Loss: 2860.64	Error: 36.33


val: 1.00 [60.00/187.00 (0.00%)]	Loss: 2074.65	Error: 30.72
val: 1.01 [120.00/187.00 (0.53%)]	Loss: 2227.54	Error: 32.57
val: 1.01 [180.00/187.00 (1.07%)]	Loss: 2208.38	Error: 32.09
val: 1.02 [187.00/187.00 (1.60%)]	Loss: 2341.63	Error: 32.67


Saving State Dict: new best loss is tensor(8852.1992, device='cuda:0')
train: 2.00 [60.00/560.00 (0.00%)]	Loss: 2677.25	Error: 34.19
train: 2.00 [120.00/560.00 (0.18%)]	Loss: 2704.16	Error: 35.03
train: 2.00 [180.00/560.00 (0.36%)]	Loss: 2594.19	Error: 34.92
train: 2.01 [240.00/560.00 (0.54%)]	Loss: 2504.37	Error: 33.37
train: 2.01 [300.00/560.00 (0.71%)]	Loss: 2457.50	Error: 33.77
train: 2.01 [360.00/560.00 (0.89%)]	Loss: 2513.92	Error: 32.94
train: 2.01 [420.00/560.00 (1.07%)]	Loss: 2355.27	Error: 33.36
train: 2.01 [480.00/560.00 (1.25%)]	Loss: 2429.30	Error: 31.43
train: 2.01 [540.00/560.00 (1.43%)]	Loss: 2345.98	Error: 32.68
train: 2.02 [560.00/560.00 (1.61%)]	Loss: 2089.88	Error: 31.02


val: 2.00 [60.00/187.00 (0.00%)]	Loss: 1702.30	Error: 39.27
val: 2.01 [120.00/187.00 (0.53%)]	Loss: 1616.91	Error: 38.24
val: 2.01 [180.00/187.00 (1.07%)]	Loss: 1673.45	Error: 38.99
val: 2.02 [187.00/187.00 (1.60%)]	Loss: 1912.06	Error: 41.76


Saving State Dict: new best loss is tensor(6904.7173, device='cuda:0')
train: 3.00 [60.00/560.00 (0.00%)]	Loss: 2244.87	Error: 30.34
train: 3.00 [120.00/560.00 (0.18%)]	Loss: 2166.34	Error: 31.40
train: 3.00 [180.00/560.00 (0.36%)]	Loss: 2194.14	Error: 31.67
train: 3.01 [240.00/560.00 (0.54%)]	Loss: 2025.62	Error: 29.53
train: 3.01 [300.00/560.00 (0.71%)]	Loss: 2063.80	Error: 29.89
train: 3.01 [360.00/560.00 (0.89%)]	Loss: 1992.23	Error: 29.47
train: 3.01 [420.00/560.00 (1.07%)]	Loss: 1962.68	Error: 29.02
train: 3.01 [480.00/560.00 (1.25%)]	Loss: 1874.91	Error: 28.45
train: 3.01 [540.00/560.00 (1.43%)]	Loss: 1891.28	Error: 27.60
train: 3.02 [560.00/560.00 (1.61%)]	Loss: 1728.69	Error: 26.03


val: 3.00 [60.00/187.00 (0.00%)]	Loss: 1688.94	Error: 28.50
val: 3.01 [120.00/187.00 (0.53%)]	Loss: 1715.32	Error: 27.84
val: 3.01 [180.00/187.00 (1.07%)]	Loss: 1704.45	Error: 27.82
val: 3.02 [187.00/187.00 (1.60%)]	Loss: 1757.89	Error: 28.16


Saving State Dict: new best loss is tensor(6866.5967, device='cuda:0')
train: 4.00 [60.00/560.00 (0.00%)]	Loss: 1713.60	Error: 27.42
train: 4.00 [120.00/560.00 (0.18%)]	Loss: 1788.68	Error: 27.76
train: 4.00 [180.00/560.00 (0.36%)]	Loss: 1749.68	Error: 25.98
train: 4.01 [240.00/560.00 (0.54%)]	Loss: 1632.85	Error: 26.45
train: 4.01 [300.00/560.00 (0.71%)]	Loss: 1632.20	Error: 25.85
train: 4.01 [360.00/560.00 (0.89%)]	Loss: 1524.03	Error: 24.83
train: 4.01 [420.00/560.00 (1.07%)]	Loss: 1571.57	Error: 25.31
train: 4.01 [480.00/560.00 (1.25%)]	Loss: 1529.55	Error: 25.00
train: 4.01 [540.00/560.00 (1.43%)]	Loss: 1460.78	Error: 25.84
train: 4.02 [560.00/560.00 (1.61%)]	Loss: 1413.27	Error: 23.26


val: 4.00 [60.00/187.00 (0.00%)]	Loss: 2557.38	Error: 35.30
val: 4.01 [120.00/187.00 (0.53%)]	Loss: 2575.89	Error: 34.49
val: 4.01 [180.00/187.00 (1.07%)]	Loss: 2520.85	Error: 34.72
val: 4.02 [187.00/187.00 (1.60%)]	Loss: 2649.97	Error: 32.25


train: 5.00 [60.00/560.00 (0.00%)]	Loss: 1447.44	Error: 24.57
train: 5.00 [120.00/560.00 (0.18%)]	Loss: 1359.75	Error: 23.51
